reviewStatus,compilerDecision,compilerNotes,draftDocumentNumber,compilerNumber,chapter,date,headingDraft,title,participants,releaseStatus,accessRestriction,pageCount,naid,catalogDerivedSourceNote,currentSourceNote,sourceNoteGaps,scheduleEvidence,catalogUrl,pdfUrl
,,,1,1.001,Greece,1989-05-30,Memorandum of Conversation,"Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989",George H. W. Bush; Andreas Papandreou,Full,Unrestricted,3,428082497,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989. Catalog access: Unrestricted. Release status: Full. NAID 428082497.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989. Release status: Full. NAID 428082497.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed | Verify document type against source series: memcon-type title is cataloged in Presidential Telcon Files | Resolve data-quality issue(s): Name/title spelling variant (Doc 1.001); Schedule title caveat (Doc 1.001 / Schedule NAID 415889858),[Presidential Daily Diary] 5/30/1989 [EMPTY] - NAID 415889858 || [Presidential Daily Backup] 5/30/1989 - NAID 415889859,https://catalog.archives.gov/id/428082497,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-30--Papandreou.pdf
,,,2,1.002,Greece,1989-10-24,Memorandum of Conversation,"Presentation of Credentials by Christos Zacharakis, Ambassador of Greece",George H. W. Bush; Christos Zacharakis,Full,Unrestricted,3,428080281,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Presentation of Credentials by Christos Zacharakis, Ambassador of Greece. Catalog access: Unrestricted. Release status: Full. NAID 428080281.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Presentation of Credentials by Christos Zacharakis, Ambassador of Greece. Release status: Full. NAID 428080281.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed,[Presidential Daily Diary] 10/24/1989 - NAID 415890152 || [Presidential Daily Backup] 10/24/1989 - NAID 415890153,https://catalog.archives.gov/id/428080281,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-10-24--Zacharakis.pdf
,,,3,1.003,Greece,1989-11-27,Memorandum of Telephone Conversation,"Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989",George H. W. Bush; Xenofon Zolotas,Full,Unrestricted,2,428080371,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989. Catalog access: Unrestricted. Release status: Full. NAID 428080371.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989. Release status: Full. NAID 428080371.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed | Resolve data-quality issue(s): Schedule title caveat (Doc 1.003 / Schedule NAID 415890220),[Presidential Daily Diary] 11/27/1989 [EMPTY] - NAID 415890220 || [Presidential Daily Backup] 11/27/1989 - NAID 415890221,https://catalog.archives.gov/id/428080371,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Zolotas.pdf
,,,4,1.004,Greece,1990-06-06,Memorandum of Conversation,"Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,11,428080735,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990. Catalog access: Unrestricted. Release status: Full. NAID 428080735.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990. Release status: Full. NAID 428080735.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed,[Presidential Daily Diary] 6/6/1990 - NAID 415890602 || [Presidential Daily Backup] 6/6/1990 - NAID 415890603,https://catalog.archives.gov/id/428080735,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-06-06--Mitsotakis.pdf
,,,5,1.005,Greece,1990-08-22,Memorandum of Telephone Conversation,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,3,428080965,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990. Catalog access: Unrestricted. Release status: Full. NAID 428080965.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990. Release status: Full. NAID 428080965.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed | Resolve data-quality issue(s): Schedule title caveat (Doc 1.005 / Schedule NAID 415890756),[Presidential Daily Diary] 8/22/1990 [EMPTY] - NAID 415890756 || [Presidential Daily Backup] 8/22/1990 - NAID 415890757,https://catalog.archives.gov/id/428080965,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-22--Mitsotakis.pdf
,,,6,1.006,Greece,1990-11-21,Memorandum of Conversation,"Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,4,428081201,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990. Catalog access: Unrestricted. Release status: Full. NAID 428081201.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990. Release status: Full. NAID 428081201.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed | Resolve data-quality issue(s): Schedule title caveat (Doc 1.006 / Schedule NAID 415890940),[Presidential Daily Diary] 11/21/1990 [EMPTY] - NAID 415890940 || [Presidential Daily Backup] 11/21/1990 - NAID 415890941,https://catalog.archives.gov/id/428081201,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-11-21--Mitsotakis.pdf
,,,7,1.007,Greece,1991-01-14,Memorandum of Telephone Conversation,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,2,428081343,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991. Catalog access: Unrestricted. Release status: Full. NAID 428081343.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991. Release status: Full. NAID 428081343.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed,[Presidential Daily Diary] 1/14/1991 - NAID 415891048 || [Presidential Daily Backup] 1/14/1991 - NAID 415891049,https://catalog.archives.gov/id/428081343,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-14--Mitsotakis.pdf
,,,8,1.008,Greece,1991-07-18,Memorandum of Conversation,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,6,428081777,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991. Catalog access: Unrestricted. Release status: Full. NAID 428081777.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991. Release status: Full. NAID 428081777.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed,[Presidential Daily Diary] 7/18/1991 - NAID 415891419 || [Presidential Daily Backup] 7/18/1991 - NAID 415891420,https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf
,,,9,1.009,Greece,1991-12-12,Memorandum of Conversation,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3)",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,3,428082071,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3). Catalog access: Unrestricted. Release status: Full. NAID 428082071.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3). Release status: Full. NAID 428082071.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed,[Presidential Daily Diary] 12/12/1991 - NAID 415891716 || [Presidential Daily Backup] 12/12/1991 - NAID 415891717,https://catalog.archives.gov/id/428082071,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-1.pdf
,,,10,1.010,Greece,1991-12-12,Memorandum of Conversation,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)",George H. W. Bush; Constantine Mitsotakis,Partial,Restricted - Partly,7,428082073,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3). Catalog access: Restricted - Partly. Release status: Partial. NAID 428082073.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3). Release status: Partial. NAID 428082073.",Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Replace Catalog-only release/access wording with final FRUS editorial wording where needed | Resolve release/marker status before final selection,[Presidential Daily Diary] 12/12/1991 - NAID 415891716 || [Presidential Daily Backup] 12/12/1991 - NAID 415891717,https://catalog.archives.gov/id/428082073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-2.pdf
